airport_id,airport_code,city_name,state_name,country
7f8bc8dd-2702-4988-9266-fcf69833da7f,SYR,"Syracuse, NY",New York,USA
15b96b87-72c1-436c-bf0f-b4e1cdf3d47d,ECP,"Panama City, FL",Florida,USA
cc9ddbde-fe8f-4dfc-851f-b413ec110ad7,ALO,"Waterloo, IA",Iowa,USA
fe30d390-9736-4d94-b21d-cdc57a4edcb6,SHV,"Shreveport, LA",Louisiana,USA
110ebeaa-5ce5-4d6e-9262-6e2b9c9dbd81,HIB,"Hibbing, MN",Minnesota,USA
651b1c74-a20e-44c3-817a-5eaf62e586e3,LCH,"Lake Charles, LA",Louisiana,USA
945c0020-45e6-4179-a370-12bbea8dcbbc,JST,"Johnstown, PA",Pennsylvania,USA
d128b5d3-0005-48e2-b6f3-a522bd1747e8,LSE,"La Crosse, WI",Wisconsin,USA
f8b2350b-66ad-4a47-a4c7-23ee1cb2f70d,CWA,"Mosinee, WI",Wisconsin,USA
4d9b607d-17c2-4e06-a2f5-75239655ae9c,OME,"Nome, AK",Alaska,USA
7e411ab3-44cd-424c-908c-17211d34ab4f,SFO,"San Francisco, CA",California,USA
6cc70068-cb96-4fc5-89a8-bf3c4afb27b7,AGS,"Augusta, GA",Georgia,USA
3399e17b-49f7-4adf-9eab-f5477b6a1278,STS,"Santa Rosa, CA",California,USA
1cb74b58-34ec-415f-84f9-d59d39d491f6,CID,"Cedar Rapids/Iowa City, IA",Iowa,USA
a6d1f825-b8ee-4221-b652-cae4ba9e17f8,OKC,"Oklahoma City, OK",Oklahoma,USA
bb5c9f82-1c5e-45ae-8080-d6e3905910e3,PSM,"Portsmouth, NH",New Hampshire,USA
6433e512-1b45-49e2-b61c-9e29f4a4c92a,ROP,"Rota, TT",U.S. Pacific Trust Territories and Possessions,USA
000ea243-f957-4c6b-93bb-f62f5b8c1757,AVL,"Asheville, NC",North Carolina,USA
7a5505fc-961b-4d21-acc6-bde89ae1177a,MSY,"New Orleans, LA",Louisiana,USA
498468a9-d0ef-44b8-b3f6-99a1a12c35e5,SWF,"Newburgh/Poughkeepsie, NY",New York,USA
6c43db3c-384f-4d5a-8223-ef72085e992e,DLG,"Dillingham, AK",Alaska,USA
f88d3236-16c8-4238-bb68-0b2b355fe32a,CVG,"Cincinnati, OH",Kentucky,USA
e5a2ac88-85e8-44d5-ae06-1c02e85560e4,PBG,"Plattsburgh, NY",New York,USA
5b9bbade-0b73-4135-96ea-0e1bb52febb4,ANC,"Anchorage, AK",Alaska,USA
cf66e0d7-f4b9-4d36-a36a-a34ea6bc4427,LGB,"Long Beach, CA",California,USA
a20e7b90-99cb-4178-b43e-4364f0ad775b,PHX,"Phoenix, AZ",Arizona,USA
30b38a0c-6f9f-46bc-80d7-d12c9d9c92cb,TUS,"Tucson, AZ",Arizona,USA
b87ceb14-8fcb-4d23-b83a-75ec1ba7c058,ONT,"Ontario, CA",California,USA
f6f2dae1-faf5-411a-9ed0-11e82c27b15e,HRL,"Harlingen/San Benito, TX",Texas,USA
7bdabb93-c818-43d8-a893-c317185b2518,OAK,"Oakland, CA",California,USA
